Struthio_camelus
Anas_superciliosa
Gallus_gallus
Columba_livia
Pterocles_bicinctus
Mesitornis_unicolor
Phoenicopterus_ruber
Chaetura_brachyura
Cuculus_optatus
Tauraco_macrorhynchus
Ardeotis_kori
Balearica_regulorum
Charadrius_hiaticula
Opisthocomus_hoazin
Eurypyga_helias
Phaethon_rubricauda
Gavia_immer
Spheniscus_humboldti
Fulmarus_glacialoides
Pelecanus_occidentalis
Accipiter_superciliosus
Tyto_alba
Colius_colius
Leptosomus_discolor
Apaloderma_aequatoriale
Bucorvus_leadbeateri
Merops_muelleri
Picus_canus
Cariama_cristata
Falco_sparverius
Barnardius_zonarius
Corvus_albus
